songs	artists	album	release date	image
I Like You More Than I Thought	Maggery	Thoughts of You	2019-04-03	['https://i.scdn.co/image/ab67616d0000b273ed73a1b814581fdc3e7f24d0', 'https://i.scdn.co/image/ab67616d00001e02ed73a1b814581fdc3e7f24d0', 'https://i.scdn.co/image/ab67616d00004851ed73a1b814581fdc3e7f24d0']
drunk text	Henry Moodie	drunk text	2023-01-26	['https://i.scdn.co/image/ab67616d0000b27338876c52ff708856ae680d7e', 'https://i.scdn.co/image/ab67616d00001e0238876c52ff708856ae680d7e', 'https://i.scdn.co/image/ab67616d0000485138876c52ff708856ae680d7e']
Thank You for Liking Me	Maggery	Thoughts of You	2019-04-03	['https://i.scdn.co/image/ab67616d0000b273ed73a1b814581fdc3e7f24d0', 'https://i.scdn.co/image/ab67616d00001e02ed73a1b814581fdc3e7f24d0', 'https://i.scdn.co/image/ab67616d00004851ed73a1b814581fdc3e7f24d0']
Here With Me	d4vd	Petals to Thorns	2023-05-26	['https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7', 'https://i.scdn.co/image/ab67616d00001e0264fa1bda999f4fbd2b7c4bb7', 'https://i.scdn.co/image/ab67616d0000485164fa1bda999f4fbd2b7c4bb7']
Thru These Tears	LANY	Malibu Nights	2018-10-05	['https://i.scdn.co/image/ab67616d0000b273c4dae9528b2a8408f463eb17', 'https://i.scdn.co/image/ab67616d00001e02c4dae9528b2a8408f463eb17', 'https://i.scdn.co/image/ab67616d00004851c4dae9528b2a8408f463eb17']
I'll Wait	Jack in Water	I'll Wait	2023-06-08	['https://i.scdn.co/image/ab67616d0000b2731ea9f626e4dcd4452386b90c', 'https://i.scdn.co/image/ab67616d00001e021ea9f626e4dcd4452386b90c', 'https://i.scdn.co/image/ab67616d000048511ea9f626e4dcd4452386b90c']
Till Forever Falls Apart	Ashe,FINNEAS	Till Forever Falls Apart	2021-03-02	['https://i.scdn.co/image/ab67616d0000b2739c6c37d0dd4c9ad3b23662fd', 'https://i.scdn.co/image/ab67616d00001e029c6c37d0dd4c9ad3b23662fd', 'https://i.scdn.co/image/ab67616d000048519c6c37d0dd4c9ad3b23662fd']
There Is a Light That Never Goes Out - 2011 Remaster	The Smiths	The Queen Is Dead	1986-06-16	['https://i.scdn.co/image/ab67616d0000b273ada101c2e9e97feb8fae37a9', 'https://i.scdn.co/image/ab67616d00001e02ada101c2e9e97feb8fae37a9', 'https://i.scdn.co/image/ab67616d00004851ada101c2e9e97feb8fae37a9']
Chaar Kadam	Shaan,Shreya Ghoshal	Pk	2014-11-17	['https://i.scdn.co/image/ab67616d0000b27319fa40d5313010b1a2d971dc', 'https://i.scdn.co/image/ab67616d00001e0219fa40d5313010b1a2d971dc', 'https://i.scdn.co/image/ab67616d0000485119fa40d5313010b1a2d971dc']
Can't Take My Eyes off You	Morten Harket	Coneheads (Music From The Motion Picture Soundtrack)	1993-07-16	['https://i.scdn.co/image/ab67616d0000b273f7c30052d5e2d2302df13ca7', 'https://i.scdn.co/image/ab67616d00001e02f7c30052d5e2d2302df13ca7', 'https://i.scdn.co/image/ab67616d00004851f7c30052d5e2d2302df13ca7']
Abhi Kuch Dino Se	Pritam,Mohit Chauhan	Dil Toh Baccha Hai Ji	2010-12-23	['https://i.scdn.co/image/ab67616d0000b273b4e0221394af47af99c78eb3', 'https://i.scdn.co/image/ab67616d00001e02b4e0221394af47af99c78eb3', 'https://i.scdn.co/image/ab67616d00004851b4e0221394af47af99c78eb3']
The Night We Met	Lord Huron	Strange Trails	2015-04-06	['https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583', 'https://i.scdn.co/image/ab67616d00001e0217875a0610c23d8946454583', 'https://i.scdn.co/image/ab67616d0000485117875a0610c23d8946454583']
Nothing	Bruno Major	To Let A Good Thing Die	2020-06-05	['https://i.scdn.co/image/ab67616d0000b273e321a69d7454d9365c667187', 'https://i.scdn.co/image/ab67616d00001e02e321a69d7454d9365c667187', 'https://i.scdn.co/image/ab67616d00004851e321a69d7454d9365c667187']
