songs	artists	album	release date	image
Chaar Kadam	Shaan,Shreya Ghoshal	Pk	2014-11-17	['https://i.scdn.co/image/ab67616d0000b27319fa40d5313010b1a2d971dc', 'https://i.scdn.co/image/ab67616d00001e0219fa40d5313010b1a2d971dc', 'https://i.scdn.co/image/ab67616d0000485119fa40d5313010b1a2d971dc']
I Love You So	The Walters	I Love You So	2014-11-28	['https://i.scdn.co/image/ab67616d0000b2739214ff0109a0e062f8a6cf0f', 'https://i.scdn.co/image/ab67616d00001e029214ff0109a0e062f8a6cf0f', 'https://i.scdn.co/image/ab67616d000048519214ff0109a0e062f8a6cf0f']
Out of My League	Fitz and The Tantrums	Out of My League	2013-02-08	['https://i.scdn.co/image/ab67616d0000b273504eb0a2e404c1e538cc6c29', 'https://i.scdn.co/image/ab67616d00001e02504eb0a2e404c1e538cc6c29', 'https://i.scdn.co/image/ab67616d00004851504eb0a2e404c1e538cc6c29']
Duvet	Best Part Looped	Duvet	2023-11-11	['https://i.scdn.co/image/ab67616d0000b27333f2d4a7a4ef7b40c790a27b', 'https://i.scdn.co/image/ab67616d00001e0233f2d4a7a4ef7b40c790a27b', 'https://i.scdn.co/image/ab67616d0000485133f2d4a7a4ef7b40c790a27b']
There Is a Light That Never Goes Out - 2011 Remaster	The Smiths	The Queen Is Dead	1986-06-16	['https://i.scdn.co/image/ab67616d0000b273ada101c2e9e97feb8fae37a9', 'https://i.scdn.co/image/ab67616d00001e02ada101c2e9e97feb8fae37a9', 'https://i.scdn.co/image/ab67616d00004851ada101c2e9e97feb8fae37a9']
Khudi	The Local Train	Vaaqif	2018-01-29	['https://i.scdn.co/image/ab67616d0000b27373c6514b296e0b53dc7b75b3', 'https://i.scdn.co/image/ab67616d00001e0273c6514b296e0b53dc7b75b3', 'https://i.scdn.co/image/ab67616d0000485173c6514b296e0b53dc7b75b3']
Backyard Boy	Claire Rosinkranz	Backyard Boy (Stripped)	2020-10-02	['https://i.scdn.co/image/ab67616d0000b2735bc0561acb0b2ab653b081bc', 'https://i.scdn.co/image/ab67616d00001e025bc0561acb0b2ab653b081bc', 'https://i.scdn.co/image/ab67616d000048515bc0561acb0b2ab653b081bc']
Evergreen	Richy Mitch & The Coal Miners	RMCM	2017-05-17	['https://i.scdn.co/image/ab67616d0000b2731cc17bae5ee17cce117e198a', 'https://i.scdn.co/image/ab67616d00001e021cc17bae5ee17cce117e198a', 'https://i.scdn.co/image/ab67616d000048511cc17bae5ee17cce117e198a']
Winter Wonderland - Spotify Singles Holiday	Laufey	Spotify Singles Holiday	2023-11-14	['https://i.scdn.co/image/ab67616d0000b273d16831527ee5c1edd9327b78', 'https://i.scdn.co/image/ab67616d00001e02d16831527ee5c1edd9327b78', 'https://i.scdn.co/image/ab67616d00004851d16831527ee5c1edd9327b78']
Hey Lover!	Wabie	Cyclones and Hey Lover	2019-06-19	['https://i.scdn.co/image/ab67616d0000b27391ee4ab5782c9b197766ca02', 'https://i.scdn.co/image/ab67616d00001e0291ee4ab5782c9b197766ca02', 'https://i.scdn.co/image/ab67616d0000485191ee4ab5782c9b197766ca02']
Valentine	Laufey	Everything I Know About Love	2022-08-26	['https://i.scdn.co/image/ab67616d0000b27348341e864d4b4881f56f01b4', 'https://i.scdn.co/image/ab67616d00001e0248341e864d4b4881f56f01b4', 'https://i.scdn.co/image/ab67616d0000485148341e864d4b4881f56f01b4']
Paper Rings	Taylor Swift	Lover	2019-08-23	['https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647', 'https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647', 'https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647']
My Love Mine All Mine	Mitski	The Land Is Inhospitable and So Are We	2023-09-15	['https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10', 'https://i.scdn.co/image/ab67616d00001e0234f21d3047d85440dfa37f10', 'https://i.scdn.co/image/ab67616d0000485134f21d3047d85440dfa37f10']
Cloud 9	Beach Bunny	Honeymoon	2020-02-14	['https://i.scdn.co/image/ab67616d0000b273d6fd719531afda5f9cc0e248', 'https://i.scdn.co/image/ab67616d00001e02d6fd719531afda5f9cc0e248', 'https://i.scdn.co/image/ab67616d00004851d6fd719531afda5f9cc0e248']
I Wish You Love	Laufey	Typical of Me EP	2021-04-30	['https://i.scdn.co/image/ab67616d0000b273afe473a4a47a4e69ab174069', 'https://i.scdn.co/image/ab67616d00001e02afe473a4a47a4e69ab174069', 'https://i.scdn.co/image/ab67616d00004851afe473a4a47a4e69ab174069']
Ik Bagal	Piyush Mishra	Gangs Of Wasseypur	2012-05-23	['https://i.scdn.co/image/ab67616d0000b27304958fc8941defb111403adb', 'https://i.scdn.co/image/ab67616d00001e0204958fc8941defb111403adb', 'https://i.scdn.co/image/ab67616d0000485104958fc8941defb111403adb']
things that i miss	awfultune,Sandosius	peace and quiet	2018-04-02	['https://i.scdn.co/image/ab67616d0000b2731d48c62a7b6b494a42032bb5', 'https://i.scdn.co/image/ab67616d00001e021d48c62a7b6b494a42032bb5', 'https://i.scdn.co/image/ab67616d000048511d48c62a7b6b494a42032bb5']
Can't Help Falling in Love	Haley Reinhart	Better	2016-04-29	['https://i.scdn.co/image/ab67616d0000b27382ad647e950d61f30d02ff16', 'https://i.scdn.co/image/ab67616d00001e0282ad647e950d61f30d02ff16', 'https://i.scdn.co/image/ab67616d0000485182ad647e950d61f30d02ff16']
Nothing	Bruno Major	To Let A Good Thing Die	2020-06-05	['https://i.scdn.co/image/ab67616d0000b273e321a69d7454d9365c667187', 'https://i.scdn.co/image/ab67616d00001e02e321a69d7454d9365c667187', 'https://i.scdn.co/image/ab67616d00004851e321a69d7454d9365c667187']
bad idea right	Olivia Rodrigo	GUTS (spilled)	2024-03-22	['https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d00001e024063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d000048514063d624ebf8ff67bc3701ee']
so american	Olivia Rodrigo	GUTS (spilled)	2024-03-22	['https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d00001e024063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d000048514063d624ebf8ff67bc3701ee']
