songs	artists	album	release date	image
A&W	Lana Del Rey	Did you know that there's a tunnel under Ocean Blvd	2023-03-24	['https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d00001e0259ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d0000485159ae8cf65d498afdd5585634']
Sparks	Coldplay	Parachutes	2000-07-10	['https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a', 'https://i.scdn.co/image/ab67616d00001e029164bafe9aaa168d93f4816a', 'https://i.scdn.co/image/ab67616d000048519164bafe9aaa168d93f4816a']
Matilda	Harry Styles	Harry's House	2022-05-20	['https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0', 'https://i.scdn.co/image/ab67616d00001e022e8ed79e177ff6011076f5f0', 'https://i.scdn.co/image/ab67616d000048512e8ed79e177ff6011076f5f0']
if we lived on the moon	vivi rincon	if we lived on the moon	2022-06-01	['https://i.scdn.co/image/ab67616d0000b2736dd79e3c01d6512af31bd8b3', 'https://i.scdn.co/image/ab67616d00001e026dd79e3c01d6512af31bd8b3', 'https://i.scdn.co/image/ab67616d000048516dd79e3c01d6512af31bd8b3']
ceilings	Lizzy McAlpine	five seconds flat	2022-04-08	['https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3', 'https://i.scdn.co/image/ab67616d00001e02d370fdc4dbc47778b9b667c3', 'https://i.scdn.co/image/ab67616d00004851d370fdc4dbc47778b9b667c3']
Apocalypse	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Margaret (feat. Bleachers)	Lana Del Rey,Bleachers	Did you know that there's a tunnel under Ocean Blvd	2023-03-24	['https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d00001e0259ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d0000485159ae8cf65d498afdd5585634']
Means Something	Lizzy McAlpine	Give Me A Minute	2020-08-13	['https://i.scdn.co/image/ab67616d0000b2736c1ff9424f275a8af7c72551', 'https://i.scdn.co/image/ab67616d00001e026c1ff9424f275a8af7c72551', 'https://i.scdn.co/image/ab67616d000048516c1ff9424f275a8af7c72551']
Let The Light In (feat. Father John Misty)	Lana Del Rey,Father John Misty	Did you know that there's a tunnel under Ocean Blvd	2023-03-24	['https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d00001e0259ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d0000485159ae8cf65d498afdd5585634']
My Love Mine All Mine	Mitski	The Land Is Inhospitable and So Are We	2023-09-15	['https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10', 'https://i.scdn.co/image/ab67616d00001e0234f21d3047d85440dfa37f10', 'https://i.scdn.co/image/ab67616d0000485134f21d3047d85440dfa37f10']
